,two,Average2,SD2,p_vales
0,Normalized to GAPDH,AHRR-PT7,SD,p-values
1,air,1.00,0.09,NA
2,4l/min,0.97,0.27,0.864
3,1l/min,1.02,0.12,0.8287
4,0.5l/min,1.25,0.06,0.0161
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,ALU RT-PT7,SD,p-values
1,air,1.00,0.10,NA
2,4l/min,0.92,0.35,0.7228
3,1l/min,0.91,0.20,0.5241
4,0.5l/min,0.94,0.08,0.4626
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,GPX3-PT7,SD,p-values
1,air,1.00,0.12,NA
2,4l/min,1.03,0.13,0.7836
3,1l/min,0.92,0.08,0.3911
4,0.5l/min,1.48,0.19,0.0208
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,HS 3 UTR-PT7,SD,p-values
1,air,1.01,0.09,NA
2,4l/min,1.06,0.42,0.8501
3,1l/min,0.91,0.14,0.3568
4,0.5l/min,1.09,0.09,0.3375
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,HS 5 UTR-PT7,SD,p-values
1,air,1.00,0.10,NA
2,4l/min,1.04,0.31,0.842
3,1l/min,0.93,0.14,0.5199
4,0.5l/min,1.09,0.07,0.2707
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,ORF1-PT7,SD,p-values
1,air,1.00,0.05,NA
2,4l/min,1.10,0.46,0.7272
3,1l/min,0.91,0.12,0.2967
4,0.5l/min,1.00,0.11,1.0
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,ORF2-PT7,SD,p-values
1,air,1.01,0.11,NA
2,4l/min,1.07,0.42,0.8226
3,1l/min,1.00,0.15,0.9303
4,0.5l/min,1.19,0.17,0.1985
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,CYP1A1-PT7,SD,p-values
1,air,1.04,0.32,NA
2,4l/min,0.90,0.16,0.5351
3,1l/min,2.20,1.10,0.1543
4,0.5l/min,6.10,2.03,0.013
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,DNMT3B-PT7,SD,p-values
1,air,1.00,0.14,NA
2,4l/min,1.01,0.22,0.9502
3,1l/min,0.90,0.10,0.371
4,0.5l/min,1.06,0.07,0.543
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,DNMT3A-PT7,SD,p-values
1,air,1.00,0.07,NA
2,4l/min,1.05,0.24,0.7465
3,1l/min,0.96,0.09,0.5762
4,0.5l/min,1.34,0.10,0.0085
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,DNMT1-PT7,SD,p-values
1,air,1.01,0.10,NA
2,4l/min,0.95,0.18,0.6403
3,1l/min,0.81,0.09,0.0617
4,0.5l/min,1.06,0.16,0.6701
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,TET1-PT7,SD,p-values
1,air,1.00,0.12,NA
2,4l/min,0.97,0.23,0.851
3,1l/min,0.90,0.04,0.2427
4,0.5l/min,1.14,0.19,0.3413
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,TET2-PT7,SD,p-values
1,air,1.01,0.08,NA
2,4l/min,1.00,0.26,0.9523
3,1l/min,0.89,0.01,0.0615
4,0.5l/min,1.34,0.10,0.0111
,two,Average2,SD2,p_vales
0,Normalized to GAPDH,TET3-PT7,SD,p-values
1,air,1.00,0.12,NA
2,4l/min,1.04,0.16,0.7465
3,1l/min,0.98,0.09,0.8287
4,0.5l/min,1.31,0.08,0.0204
